localTableID,URL,moby_work_name,Category,platform,Master ID,Amazon_ID,Amazon_Search_Keywords,ebay_Search_Keywords,ebay_id,minimum_price_US$,
8650, https://www.amazon.com/dp/B00001QHX0/?tag=mobygames02-20&amp;aod=1,pong-the-next-level,amazon_ID,,2658,B00001QHX0,,,,0,
8660, https://www.amazon.com/dp/B000OJBZCY/?tag=mobygames02-20&amp;aod=1,popeye-2_,amazon_ID,,2205,B000OJBZCY,,,,0,
8667, https://www.amazon.com/dp/B000QF7CNC/?tag=mobygames02-20&amp;aod=1,popeye,amazon_ID,,1624,B000QF7CNC,,,,0,
8670, https://www.amazon.com/dp/B000EA2KBS/?tag=mobygames02-20&amp;aod=1,popeye,amazon_ID,,1624,B000EA2KBS,,,,0,
8672, https://www.amazon.com/dp/B00002STY0/?tag=mobygames02-20&amp;aod=1,porky-pigs-haunted-holiday,amazon_ID,,1430,B00002STY0,,,,0,
8674, https://www.amazon.com/dp/B00002SVWC/?tag=mobygames02-20&amp;aod=1,porsche-challenge,amazon_ID,,694,B00002SVWC,,,,0,
8676, https://www.amazon.com/dp/B00005B70L/?tag=mobygames02-20&amp;aod=1,portal-runner,amazon_ID,,2659,B00005B70L,,,,0,
8678, https://www.amazon.com/dp/B00005B8G7/?tag=mobygames02-20&amp;aod=1,portal-runner_,amazon_ID,,4094,B00005B8G7,,,,0,
8684, https://www.amazon.com/dp/B001IUWM98/?tag=mobygames02-20&amp;aod=1,power-drome,amazon_ID,,4036,B001IUWM98,,,,0,
8688, https://www.amazon.com/dp/B0001XASIU/?tag=mobygames02-20&amp;aod=1,power-drome,amazon_ID,,4036,B0001XASIU,,,,0,
8703, https://www.amazon.com/dp/B00004UFRA/?tag=mobygames02-20&amp;aod=1,powerpuff-girls-bad-mojo-jojo,amazon_ID,,1136,B00004UFRA,,,,0,
8709, https://www.amazon.com/dp/B00005MOMD/?tag=mobygames02-20&amp;aod=1,powerpuff-girls-mojo-jojo-a-go-go,amazon_ID,,3532,B00005MOMD,,,,0,
8711, https://www.amazon.com/dp/B00004WLQU/?tag=mobygames02-20&amp;aod=1,powerpuff-girls-paint-the-townsville-green,amazon_ID,,2748,B00004WLQU,,,,0,
8731, https://www.amazon.com/dp/B002EWD03Q/?tag=mobygames02-20&amp;aod=1,price-is-right-2010-edition,amazon_ID,,361,B002EWD03Q,,,,0,
8733, https://www.amazon.com/dp/B002FQIPPO/?tag=mobygames02-20&amp;aod=1,price-is-right-2010-edition,amazon_ID,,361,B002FQIPPO,,,,0,
8740, https://www.amazon.com/dp/B000070IVF/?tag=mobygames02-20&amp;aod=1,pride-fc-fighting-championships,amazon_ID,,1354,B000070IVF,,,,0,
8750, https://www.amazon.com/dp/B00002ST83/?tag=mobygames02-20&amp;aod=1,primal-rage,amazon_ID,,2208,B00002ST83,,,,0,
8754, https://www.amazon.com/dp/B000035XV5/?tag=mobygames02-20&amp;aod=1,primal-rage,amazon_ID,,2208,B000035XV5,,,,0,
8758, https://www.amazon.com/dp/B00002SW4D/?tag=mobygames02-20&amp;aod=1,primal-rage,amazon_ID,,2208,B00002SW4D,,,,0,
8760, https://www.amazon.com/dp/B00009ZVI2/?tag=mobygames02-20&amp;aod=1,prince-of-persia-the-sands-of-time,amazon_ID,,4078,B00009ZVI2,,,,0,
8762, https://www.amazon.com/dp/B00009ZVHY/?tag=mobygames02-20&amp;aod=1,prince-of-persia-the-sands-of-time,amazon_ID,,4078,B00009ZVHY,,,,0,
8768, https://www.amazon.com/dp/B00009ZVHU/?tag=mobygames02-20&amp;aod=1,prince-of-persia-the-sands-of-time,amazon_ID,,4078,B00009ZVHU,,,,0,
8774, https://www.amazon.com/dp/B00009ZVHO/?tag=mobygames02-20&amp;aod=1,prince-of-persia-the-sands-of-time_,amazon_ID,,3345,B00009ZVHO,,,,0,
8782, https://www.amazon.com/dp/B00002ST59/?tag=mobygames02-20&amp;aod=1,prince-of-persia,amazon_ID,,2209,B00002ST59,,,,0,
8786, https://www.amazon.com/dp/B00004SVTB/?tag=mobygames02-20&amp;aod=1,prince-of-persia,amazon_ID,,2209,B00004SVTB,,,,0,
8794, https://www.amazon.com/dp/B000068XO7/?tag=mobygames02-20&amp;aod=1,prince-of-qin,amazon_ID,,705,B000068XO7,,,,0,
8797, https://www.amazon.com/dp/B000HKIOD8/?tag=mobygames02-20&amp;aod=1,princess-natasha-student-secret-agent-princess,amazon_ID,,988,B000HKIOD8,,,,0,
8832, https://www.amazon.com/dp/B000EHK9DW/?tag=mobygames02-20&amp;aod=1,puerto-rico,amazon_ID,,850,B000EHK9DW,,,,0,
8862, https://www.amazon.com/dp/B001L8DKLG/?tag=mobygames02-20&amp;aod=1,puzzle-challenge-crosswords-and-more,amazon_ID,,#N/A,B001L8DKLG,,,,0,
8866, https://www.amazon.com/dp/B000059Z7P/?tag=mobygames02-20&amp;aod=1,puzzled,amazon_ID,,2667,B000059Z7P,,,,0,
8872, https://www.amazon.com/dp/B00008KT8V/?tag=mobygames02-20&amp;aod=1,pyramids-of-ra,amazon_ID,,2211,B00008KT8V,,,,0,
8879, https://www.amazon.com/dp/B00002ST3I/?tag=mobygames02-20&amp;aod=1,q-billion,amazon_ID,,2212,B00002ST3I,,,,0,
8882, https://www.amazon.com/dp/B000GM3HLG/?tag=mobygames02-20&amp;aod=1,qbert,amazon_ID,,2213,B000GM3HLG,,,,0,
8884, https://www.amazon.com/dp/B0060JZ622/?tag=mobygames02-20&amp;aod=1,qbert,amazon_ID,,2213,B0060JZ622,,,,0,
8891, https://www.amazon.com/dp/B082H56VBZ/?tag=mobygames02-20&amp;aod=1,qbert,amazon_ID,,2213,B082H56VBZ,,,,0,
8901, https://www.amazon.com/dp/B00383PS30/?tag=mobygames02-20&amp;aod=1,qix,amazon_ID,,1869,B00383PS30,,,,0,
8904, https://www.amazon.com/dp/B002A4HE1M/?tag=mobygames02-20&amp;aod=1,qix,amazon_ID,,1869,B002A4HE1M,,,,0,
