amazon ID,Title,platform,ebay,amazon_search,Minimum Price,amazon_individual_id
B00004SVYU,Yoshi&#39;s Cookie      ,Nintendo NES,,,0,amazon_individual_id
B00002SUL2,FIFA International Soccer      ,"Nintendo Super NES,  Super Nintendo",,,0,amazon_individual_id
B00007KKRP,Midnight Club II      ,PlayStation2,,,0,amazon_individual_id
B002P0YHSO,Pac-Man      ,Atari 5200,,,0,amazon_individual_id
B002P138QU,River Raid      ,Atari 5200,,,0,amazon_individual_id
B002P3CWF6,Frogger      ,Atari 5200,,,0,amazon_individual_id
B00004TEXI,The Lion King: Simba&#39;s Mighty Adventure      ,Game Boy Color,,,0,amazon_individual_id
B0009Z3K62,Frogger: Ancient Shadow - Gamecube      ,GameCube,,,0,amazon_individual_id
B0017LSY7C,Buena Vista Game Le Monde De Narnia : Chapitre 2 - Prince Caspian      ,PlayStation 3,,,0,amazon_individual_id
B0018LLINI,Super Huey UH-IX      ,Atari 7800,,,0,amazon_individual_id
B00006662V,Jurassic Park: Operation Genesis - PC      ,"Windows XP,  Windows 98,  Windows Me,  Windows 2000",,,0,amazon_individual_id
B00002SU98,Tempest 2000 for Atari Jaguar      ,Atari Jaguar,,,0,amazon_individual_id
B00002SV33,Kid Klown in Crazy Chase      ,Nintendo Super NES,,,0,amazon_individual_id
B00002SV3Z,Nobunaga&#39;s Ambition      ,Nintendo Super NES,,,0,amazon_individual_id
B000AYRNUQ,Duel Masters: Shadow of the Code      ,Game Boy Advance,,,0,amazon_individual_id
B00006YZ8A,Bratz - Game Boy Advance      ,No Operating System,,,0,amazon_individual_id
B000069CCH,Monster Force - Game Boy Advance      ,Game Boy Advance,,,0,amazon_individual_id
B0039A6JBW,Search for the Titanic      ,Commodore 64,,,0,amazon_individual_id
B003AHRFYY,Buck Rogers: Planet of Zoom      ,Commodore 64,,,0,amazon_individual_id
B00084W81C,The Manhole: New and Enhanced      ,#N/A,,,0,amazon_individual_id
B0006HHLCW,The Three Stooges (PlayStation)      ,PlayStation,,,0,amazon_individual_id
B0006HXV2G,Spy Muppets: License to Croak (Jewel Case) - PC      ,Windows XP,,,0,amazon_individual_id
B00002STY0,Porky Pig&#39;s Haunted Holiday      ,Super Nintendo,,,0,amazon_individual_id
B001EWDS0M,Dokapon Kingdom (Sting the Best) [Japan Import]      ,PlayStation2,,,0,amazon_individual_id
B00004SVUN,Ski or Die - Nintendo NES      ,Nintendo NES,,,0,amazon_individual_id
B00001XDTN,Madden NFL 2000      ,Game Boy Color,,,0,amazon_individual_id
B000RSKOG0,Disney&#39;s Pinocchio      ,Game Boy,,,0,amazon_individual_id
B000035Y50,Brutal - Nintendo Super NES      ,Nintendo Super NES,,,0,amazon_individual_id
B000QF7CNC,Popeye      ,Atari 5200,,,0,amazon_individual_id
B00004KHBO,Grand Theft Auto 2      ,Sega Dreamcast,,,0,amazon_individual_id
B000OQ3TRG,NASCAR 2008 - Xbox 360 (Back to Back)      ,Xbox 360,,,0,amazon_individual_id
B000RDLT64,Electronic Arts Need for Speed Most Wanted      ,"Windows Vista,  Windows XP,  Windows 7,  Windows 2000,  Windows Me",,,0,amazon_individual_id
B000F6K13K,Real World Golf Bundle - PlayStation 2      ,PlayStation2,,,0,amazon_individual_id
B000AAKW0I,Berenstain Bears and the Spooky Old Tree - Game Boy Advance      ,Game Boy Advance,,,0,amazon_individual_id
B000ACBYQ2,M.A.D. - Mutually Assured Destruction - PC Windows CD      ,#N/A,,,0,amazon_individual_id
B00001QHYA,Space Invaders - PC      ,"Windows 98,  Windows Me,  Windows 95",,,0,amazon_individual_id
B00001X50Y,Goemon&#39;s Great Adventure      ,Nintendo 64,,,0,amazon_individual_id
B00009XS6F,I-Ninja - PlayStation 2      ,PlayStation2,,,0,amazon_individual_id
B00005V6BK,EA Sports NHL 2002      ,"Windows XP,  Windows 98,  Windows Me,  Windows 2000",,,0,amazon_individual_id
B00005NCAQ,Madden NFL 2002      ,Game Boy Color,,,0,amazon_individual_id
B000FDKYHQ,Monster House      ,Game Boy Advance,,,0,amazon_individual_id
B00005AM4Y,Cannon Fodder      ,Windows 95,,,0,amazon_individual_id
B00005AT8D,Unison      ,PlayStation2,,,0,amazon_individual_id
B00005ATSM,The Legend of Zelda: Oracle of Seasons      ,Game Boy Color,,,0,amazon_individual_id
B00008BR9E,Freestyle Metal X - PlayStation 2      ,PlayStation2,,,0,amazon_individual_id
B00008BR9V,Medabots: Metabee (Gold)      ,Game Boy Advance,,,0,amazon_individual_id
B00008BR9X,Medabots: Rokusho (Silver)      ,Game Boy Advance,,,0,amazon_individual_id
